,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
58,45,291,1260,9388,47248,154113,492975,1165715,1898890,2524630,2826841,2134758,1072326,506646,219552,107204,48541,16620,8517,7065,7802,17850,21095,8840,1569,182,37,0,0,0,0,0
59,663,7473,17982,95999,357661,908818,1676243,2477661,3138957,3541066,3622149,3299610,2393284,1273141,635282,351775,199518,107204,47466,16747,7038,4995,3264,858,131,11,4,0,0,0,0,0
60,65,1410,14266,103306,383754,937275,1577307,2062866,2346840,2474834,2395420,1936585,1254804,758585,456047,267604,152379,77503,33012,23645,52022,71000,40556,8374,506,35,0,0,0,0,0,0
61,39,812,14745,88971,327540,831890,1534501,2153962,2479527,2493899,2288434,1868471,1256138,757282,447063,230548,108923,40919,11679,3106,857,339,204,125,26,0,0,0,0,0,0,0
62,1078,9702,23212,135486,475129,1152175,2113463,2980542,3399619,3277336,2948619,2469724,1742570,1093683,672501,368326,191470,99876,49016,61117,100463,76065,31512,8155,3128,1028,5,0,0,0,0,0
63,240,6571,30032,182103,585183,1334994,2227025,2906752,3166641,3105500,2821419,2267722,1498626,852474,479365,275470,148203,60223,20425,26317,33119,15714,5161,680,35,6,0,0,0,0,0,0
64,20,551,2332,12191,32623,73919,180983,366719,567017,746390,1018638,1149136,811023,392567,180078,83059,27441,10019,9083,44741,94101,46979,11618,1156,116,0,0,0,0,0,0,0
65,1219,12477,15295,28173,139388,1110482,2061445,3573228,6433093,8155840,7139272,4667351,1708303,1017685,501866,254054,110516,21526,29956,67063,106907,93995,40935,8012,1238,181,0,0,0,0,0,0
66,33,4096,56836,250792,687477,1386044,2208470,2807031,3012865,2932779,2796966,2652002,2258614,1562058,902544,458106,216114,92120,33105,22714,16549,9774,2893,503,15,0,0,0,0,0,0,0
67,460,13057,68688,302785,837545,1627534,2499486,3083613,3224989,3042967,2774041,2451080,1911907,1219433,671623,336980,169169,81126,37526,37434,63213,55225,20618,6110,3230,1822,336,3,0,0,0,0
68,149,3860,30521,174053,560277,1309777,2246846,3019849,3465169,3593402,3279516,2522255,1572543,853412,450995,222693,112239,52643,18384,12144,21775,26681,16348,5703,1030,223,13,0,0,0,0,0
69,30,1372,32220,181824,577342,1273675,2179480,3007292,3568572,3801693,3586223,2786150,1697263,914821,495877,258207,134308,62907,23783,18177,33511,33940,17778,3986,1074,785,210,0,0,0,0,0
