,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
50,99,3106,28996,150730,490567,1116506,1960717,2843480,3472336,3746116,3644046,3028526,1933717,968526,501851,287457,159466,74839,21722,5137,1855,557,107,41,0,0,0,0,0,0,0,0
51,76,2722,21431,107877,340738,786667,1452158,2172311,2677490,2888498,2783488,2228523,1374293,715593,372689,198471,103297,48702,13737,3432,1318,579,282,99,24,5,0,0,0,0,0,0
52,101,3429,16662,85785,269122,630275,1159898,1785583,2362475,2758083,2735487,2187384,1366899,729095,362359,175001,84593,36651,11155,3106,1028,439,260,103,21,6,0,0,0,0,0,0
53,22,1030,17550,110506,362504,852999,1553812,2344117,3069310,3601436,3692521,3165285,2169011,1217318,637730,306073,140298,59062,17645,5207,2232,924,486,263,102,48,9,0,0,0,0,0
54,10,1108,21551,145649,495395,1173205,1971620,2677661,3289897,3719946,3755677,3234737,2096614,1102593,565685,283422,140585,63189,20796,7802,4874,3127,2145,1320,753,332,192,83,30,2,0,0
55,23,2306,47103,227257,646971,1278431,1878335,2237393,2414581,2485797,2365354,1947809,1224448,664240,392100,230250,124723,57616,18579,5609,2018,768,356,239,123,52,19,0,0,0,0,0
56,2,1288,23766,129280,394846,844392,1353409,1801140,2165236,2307388,2145495,1632329,970380,537038,305312,171861,89073,39286,11192,2495,1099,538,302,172,80,43,32,20,6,0,0,0
57,50,1047,2915,13948,43450,66269,160524,473811,845019,1251836,1907781,2594237,2529097,1511008,717978,330791,150521,43214,6882,3066,2969,4185,2076,289,36,1,0,0,0,0,0,0
58,30,254,1012,8415,46052,154322,496895,1177203,1912068,2551942,2852742,2113697,1042138,493429,211535,103968,46680,15486,8264,7007,7523,17386,21436,8898,1448,143,27,0,0,0,0,0
59,568,7488,15967,87871,342975,898768,1681462,2502082,3181103,3593994,3669917,3316501,2352711,1219353,606143,338035,191702,102779,44770,15394,6264,4905,3290,831,118,9,0,0,0,0,0,0
60,42,1149,12361,96665,375196,940099,1591679,2082021,2369496,2505442,2419652,1927703,1226157,735871,442493,258277,145789,73993,30858,22410,50641,72121,41346,8075,434,30,0,0,0,0,0,0
61,26,651,12962,82406,316207,831469,1552379,2181295,2508872,2517926,2300818,1861071,1230269,735515,432866,220312,103030,37598,10382,2642,732,275,177,103,17,0,0,0,0,0,0,0
62,1190,9360,20346,126345,459945,1147128,2137608,3026826,3442860,3296567,2960718,2468227,1713132,1064606,653863,352009,182440,95530,45721,59837,100265,76836,31779,7860,3042,960,0,0,0,0,0,0
