,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
10,0,0,0,5,21,100,331,660,1461,3761,7114,11520,17593,26546,38117,53387,71210,91580,115541,141502,170095,198924,229916,261198,291616,320191,348298,373344,397524,415957,434610,449977,464086,478236,490511,502704,515228,527742,538369,549497,560147,566993,573053,578251,579466,575812,568301,557471,540766,513517,479289,433963,385150,339181,297917,262128,232073,206354,183556,164076,147259,130883,116655,104699,94492,84617,76198,66850,58671,50803,42419,33700,25385,18156,11784,7119,4353,2661,1571,980,632,496,303,219,172,106,103,71,70,48,32,12,6,9,9,7,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,2,15,50,135,286,633,1369,3351,6553,11535,18561,27745,38596,51525,67116,85397,106370,129163,154681,180394,205634,232275,258352,285527,311625,334737,358576,381649,403820,426752,445404,464088,481681,499931,512365,522583,529820,536962,541843,539636,535538,531767,522446,511062,500609,482950,462369,440077,415034,385423,351445,318352,284642,253965,225143,200653,177406,157338,138560,122045,108286,95049,81988,71002,61294,51160,42541,35224,28114,21238,16022,11703,8383,5998,4325,3124,2229,1526,1133,926,603,493,351,282,183,184,144,160,117,121,115,78,72,75,75,38,31,24,12,6,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,7,24,65,218,701,1749,3899,8748,15395,24101,36941,53168,69747,90465,114560,143587,176059,209931,248612,286387,324349,365016,401223,436017,471062,504445,535318,561802,585985,612888,638465,663252,688408,710807,730588,748001,763555,776992,786206,792796,796078,790488,778470,761749,734357,700154,654343,598486,539845,479344,426695,377108,333426,296284,260297,229394,202318,177205,155993,136612,120307,105326,93708,83686,72762,63766,54302,45009,36455,28597,21882,16887,11867,8190,5459,3538,2384,1450,1006,743,465,323,240,172,142,139,129,96,68,66,46,29,24,21,8,15,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,11,22,32,47,87,235,567,1656,3321,6335,10691,17378,27005,39534,54485,71912,93008,117940,146168,178306,214237,252141,293110,333098,376698,417377,458187,497173,534141,569040,603884,637845,669050,696674,726410,754122,779286,802450,817903,828968,834894,831665,823219,809715,789597,764901,731164,693772,654268,611935,565841,518528,474230,429820,384363,341085,302118,267970,236444,208249,182454,160284,140127,121475,103326,88038,74600,62152,51242,41124,32767,24669,17622,12587,9091,6094,4421,3175,2322,1568,1200,797,547,402,272,246,157,134,108,78,34,28,14,6,10,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,8,38,61,78,106,190,522,1255,2775,5633,10147,16289,24087,34458,48126,64069,83320,106707,133054,162373,193683,226721,259389,289848,317416,344054,366864,387897,408135,428430,447108,465405,481664,499362,517725,535414,555628,571784,586472,595714,602558,602365,594868,581828,563386,534932,499078,459987,417570,379949,339285,303753,267777,237319,208255,182160,159445,138468,121291,106767,93789,83643,73441,64455,56825,49509,42460,34967,28247,22383,16667,12338,8779,5852,4070,2518,1710,1126,934,659,502,395,365,206,184,187,144,116,113,90,93,66,48,31,16,12,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,7,20,88,369,1107,2369,4043,3881,2582,1597,1748,2484,3674,5678,8711,14459,23502,36922,56538,79887,105457,130010,153584,179745,205056,229095,251556,275845,301195,323711,349721,370541,389296,406406,420267,426999,428624,431995,425188,411175,389242,367659,340382,308456,271073,231421,188280,152267,123497,100262,82358,69114,60294,51634,44310,38062,33103,28182,23655,19422,15909,13028,10533,8486,6426,4919,3796,2538,1568,864,491,247,159,63,43,33,28,15,8,11,12,13,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,20,98,460,1135,1427,1535,2697,5228,8916,13374,19698,27813,37701,49866,64632,80452,97837,117602,138275,159738,183371,206718,227977,249932,271976,291528,310405,329172,345678,361591,375501,389263,398854,411327,419983,425289,428309,428825,426017,422557,410435,395460,379225,359873,336226,309664,279769,250796,222798,198031,174482,155651,138590,123950,109853,98843,87443,77268,68302,60391,53333,47004,41200,35555,31751,26914,22184,18330,14731,11823,8951,6175,4421,3022,2084,1586,1071,753,561,345,293,169,114,89,69,36,46,25,18,7,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,4,7,30,164,535,1557,3616,7312,14142,24705,39337,57470,78972,105233,135585,170595,210521,255280,303209,353793,401350,449425,494202,534023,568786,599508,626089,652155,674734,693905,708442,728134,743514,757458,771149,785460,799045,808997,813701,816789,808254,798235,780250,755977,720006,675213,622974,561742,500894,441801,389235,342733,300795,266798,237948,210909,188403,168994,150702,133624,118240,105457,93146,81109,70638,61021,52311,43954,36684,29140,22689,16773,12629,9201,6239,4110,2914,2171,1627,1116,717,513,348,215,160,100,87,64,54,40,28,20,20,12,9,5,6,7,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1,1,11,81,275,745,2241,5299,9997,17218,27158,40901,58150,77638,101021,129832,162063,195526,232960,274122,315924,354146,389524,422865,452217,476465,497288,513642,527360,540782,552305,560426,573264,583396,589660,596942,602044,603761,603080,596509,583648,564252,539221,511860,478185,439831,395123,351246,310148,272954,238206,208011,183086,160586,141878,125905,110714,98340,86432,75790,65878,56721,49501,42432,35956,29588,24304,19401,15236,11912,9140,6712,4717,3224,2269,1545,986,631,468,380,299,243,218,161,115,68,53,33,16,18,4,5,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,1,15,40,135,485,1439,3446,6292,11311,19120,30239,43352,59246,77887,100953,126213,154902,185946,220293,253800,289240,323385,353204,381172,403917,425015,444341,462927,479847,495593,509395,525534,538023,548404,558762,567051,572079,571577,570645,564633,554032,536850,514141,488691,455612,420141,376689,333292,293538,255773,223431,195442,171892,151858,134347,118784,104377,92630,83595,74782,66863,59142,52231,45346,38633,32772,27035,21341,16433,12486,9196,6434,4309,3022,2145,1482,1106,823,583,421,347,287,217,162,126,86,61,45,35,25,16,12,12,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
