,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
60,31221,249740,178926,24540,2229775,159,2641,2683,7328423,69591,8535,6393,50975,8580,4175,51354,5169670,1,11972,47,0,8494,483,52,5234,5357,8457,941605,1538,2483,0,19461,930,23641,454484,528380,0
61,30345,243724,173379,23861,2163899,126,2421,2457,7109166,68880,8564,6427,50120,8493,3931,49729,5046004,1,11708,39,0,8463,421,50,4998,4889,8671,922721,1619,2441,0,19296,877,22971,436101,503208,0
62,42571,337411,248106,32844,3053939,204,3704,3691,9905709,95245,12326,8848,69286,12138,5747,69817,6931141,0,16148,66,0,11431,662,59,7189,7227,11528,1239484,2336,3509,0,27105,1263,31272,593036,699958,0
63,39107,312728,228723,30080,2856416,154,3319,3355,9344452,88120,11214,8135,64255,11135,5189,63892,6502539,0,14968,63,0,10884,618,57,6676,6598,10823,1167457,2075,3154,0,24473,1117,29698,550056,648470,0
64,8847,87086,39215,10267,807903,14,528,525,1880312,25064,1905,4647,19380,1923,744,19527,1925644,0,3196,11,0,3221,66,13,898,921,3065,342381,1987,1933,0,16669,122,7686,280183,366617,1
65,38222,461785,93066,56238,5492044,28,943,1005,7736477,113037,3147,40338,99540,3076,940,99351,12730696,1,7833,27,0,14305,78,24,1237,1260,14187,1927484,30779,22952,0,191096,115,30824,3130484,4956881,1
66,45314,349373,265566,35485,3141826,249,4004,3955,10515118,98495,13308,9910,70448,13101,6702,70140,7075252,1,16671,70,1,11402,717,67,8112,8110,11402,1243614,2986,3761,0,26800,1476,31975,588130,696959,0
67,45133,346711,268268,33694,3162333,254,4061,3976,10672973,97374,13369,8887,69801,12969,6491,69791,7102676,3,16953,76,0,11245,745,69,7983,8158,11396,1251581,2339,3291,0,24663,1462,32130,577076,674069,0
68,41130,327692,239271,32218,3062402,184,3451,3420,10009509,91835,11638,8780,68227,11550,5361,67803,6942609,0,15385,50,0,11264,521,53,6754,6755,11133,1238244,2239,3369,0,26063,1128,31157,591843,699462,0
69,43656,343823,256608,32811,3200524,201,3729,3771,10591664,95939,12468,8129,70259,12438,5698,70941,7228021,0,16481,51,0,11573,635,60,7252,7424,11685,1284242,1951,3203,1,25587,1240,32629,600085,707721,0
70,44114,340923,259661,32639,3149981,256,3774,3844,10510107,93983,12563,7916,69126,12510,6122,69613,7021763,1,16271,63,0,11227,705,55,7899,7936,11298,1248636,1898,3076,0,24661,1424,32075,582015,684365,0
