,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
26,33741,49356,8,76660,8,49520,10,76330,5,18694,19190,30530,30620,19420,19212,31116,30467,459227,84424,451601,87399,452987,85263,458117,88525,824955,1064270,1059585,813708,817264,1063786,1068752,824430,821735,325029,978261,321373,799513,318089,982539,323067,120965,120260,97313,96669,119076,118094,97015,96905,71677,40594,71284,20878,70256,39951,69909,20860,462296,315212,0
27,30933,45244,13,70497,7,45069,7,70860,7,17366,17438,27262,27317,17365,17786,27975,27299,418284,77298,409013,78186,411387,77894,414468,80809,749229,981920,962323,735210,741862,971581,974766,754075,749699,298335,901754,291024,725195,294440,897531,297200,111157,111148,88144,87145,108535,108376,86267,87157,65911,37578,66547,18520,65583,36770,64814,18329,424989,294102,0
28,35067,53322,14,79612,14,53631,9,80673,7,19729,19673,31193,31874,19795,19743,31981,31204,493253,87533,483118,91398,486776,88526,492061,92195,877454,1126205,1100884,870118,862633,1121557,1117498,874172,894055,342756,1060717,336972,874612,337563,1059493,340737,128870,128987,107735,106134,125757,125869,105330,107128,80291,40233,80250,22264,78295,39668,79194,22287,510183,337198,0
29,31090,46302,10,72017,9,46453,6,72557,5,17499,17718,28040,28005,18007,17763,28581,28460,440205,80597,431783,83200,432329,80580,438810,84101,786889,1019391,1001333,777384,779317,1008770,1015228,794684,797205,310439,943690,305054,775802,303888,939282,310606,118035,117970,94710,93720,114918,114532,92924,92982,68097,38169,68765,19635,67188,37829,66868,19782,437064,295723,0
30,44987,72135,5,98761,8,71868,12,99455,7,25431,25331,40645,40827,25035,25537,41194,40612,655683,108049,645862,121459,641410,109027,648534,123136,1174774,1394293,1374827,1161545,1152529,1384683,1389807,1172022,1195855,435630,1362005,427620,1170911,426003,1351545,431386,159428,159534,145740,144546,156213,155973,141541,142372,106348,45591,108575,31194,106879,45364,105216,30720,675584,436237,0
31,49404,78391,14,106244,13,79594,14,106002,4,28141,28108,44297,44252,28072,28615,44733,43975,693524,116161,686156,132438,688448,118304,692004,134200,1278050,1496486,1477549,1261616,1264415,1491710,1484377,1284975,1269064,470165,1422581,463241,1242860,465108,1421495,467842,166194,166894,153348,152588,163319,163149,151400,153158,106576,47850,106318,34187,105879,46907,104573,34044,676916,469058,0
32,35060,54065,16,78710,6,54584,10,78990,9,19598,19656,30389,30813,19289,19884,31407,30715,500907,86202,493122,91139,497329,86911,500477,92192,883858,1109540,1090004,876298,877390,1098121,1105273,890598,915739,342922,1072181,335362,895653,336611,1074547,341523,129233,128926,109679,108598,126471,125994,108284,108927,85979,38917,85302,22944,83924,38413,84738,22475,546587,340009,0
33,33702,51155,5,76761,8,51519,12,77210,9,18829,19033,29188,29519,19023,19344,29554,29613,469515,82587,459065,86005,461812,83453,464787,86416,830291,1056229,1032161,815183,817700,1049653,1044985,823413,850309,324981,1006278,319597,832538,319507,1006349,322434,121207,122657,101933,100984,118751,119106,99248,100474,77824,38439,78059,21264,76585,38245,76840,20800,497737,332615,0
34,46023,72513,9,100123,12,72885,8,100081,9,25681,25828,40730,40549,26052,26029,41131,40360,638619,107953,628174,119229,632598,108495,636534,120802,1142826,1367373,1351688,1133482,1129346,1364895,1356673,1144703,1160620,433130,1331568,423831,1133770,424631,1338655,427440,158073,158085,141272,139779,154059,154864,139017,141237,102216,45891,101581,31292,100307,45329,100554,30813,650202,442871,0
35,47023,77466,9,105557,7,77593,8,105599,13,26123,26704,41983,42098,26401,26577,42059,41653,683109,109438,670598,121716,673779,110933,677280,123758,1186743,1420486,1391247,1177223,1174021,1413477,1407585,1188505,1247300,450419,1435830,440126,1226075,443208,1432231,446833,165611,166344,152426,151051,163794,163407,149428,150818,116336,46494,116421,32165,115570,46262,114637,31979,736029,472435,0
36,36550,55821,9,79357,7,56478,8,80572,10,20984,20904,32515,32108,21431,21316,32646,32173,501475,90105,490731,95214,491480,90365,497314,97642,905750,1109736,1088527,896284,895021,1093156,1103097,908568,908976,353352,1032675,345683,882891,344822,1026534,349353,129817,130443,108793,107896,127219,126444,106410,107511,75306,40330,75717,24073,74601,39520,74371,24053,485944,352912,0
37,32720,49676,10,73170,8,49690,6,73567,6,18843,18719,28754,28858,18466,18858,28919,29503,456390,81254,447826,84648,448758,81885,452485,86129,831307,1041442,1022558,818632,820441,1028200,1024160,830500,834588,320692,954522,314590,815800,315043,944673,317180,117232,118262,96424,95639,114569,114852,94048,95325,71755,37875,72363,20666,71482,36843,71219,20444,453920,323606,0
38,43721,70105,9,95978,7,70170,11,96054,8,24447,25078,39276,39473,24561,24696,40204,39111,639618,106374,622936,118844,626402,106461,630295,119802,1159431,1385935,1350714,1139399,1143236,1374636,1357802,1153944,1173014,431109,1319531,418883,1138204,420789,1311483,423923,157461,158140,138973,135863,153526,152721,135851,137816,99749,44147,99916,30143,98694,44197,97451,29987,625081,437110,0
39,45952,76243,5,99058,11,76306,9,99704,5,26060,26552,41053,41020,26157,26320,41694,41120,684660,111941,673628,126796,673314,112178,679023,128612,1256491,1453063,1428656,1244224,1247150,1441204,1436478,1267540,1275391,456156,1411622,448216,1247295,448217,1393383,454162,162405,164489,151665,150043,159477,158747,148316,150692,107458,44813,108370,32911,107912,43944,106169,32948,678497,458975,0
40,33416,53473,6,76763,7,53019,3,77024,7,18418,18728,28655,29145,18749,18668,29487,28907,486584,81835,476681,87094,477723,82492,485641,88729,861235,1069217,1047747,852080,847501,1059690,1055857,866892,912956,336368,1040403,330376,880602,328770,1035871,336001,128623,128367,105990,104926,125171,125438,103948,106071,79577,37128,79612,21833,77632,36451,77603,21587,491775,332948,0
41,44633,72539,8,96444,8,72869,8,96755,10,25144,25317,39866,39969,25454,25226,40642,39613,649840,108777,638796,121689,639218,108435,644082,122667,1179038,1373667,1354996,1159588,1160927,1359572,1362232,1172685,1200579,436261,1340828,428540,1169860,428398,1328933,433911,160383,160043,146162,144423,156342,155933,143084,144378,99468,44804,99592,31714,97403,44068,97597,31131,634544,427907,0
42,46564,78107,14,102393,9,78100,7,102794,5,26388,26019,41514,41663,26239,26224,42086,41283,698928,111804,688225,126679,687392,112574,694176,128995,1239394,1444076,1427373,1228533,1223723,1432788,1439016,1245500,1306796,460299,1452432,451844,1269632,451450,1446725,457642,172414,172350,157808,155568,169679,168947,155631,156490,111033,45092,111834,33929,109123,44144,110090,33440,696675,462848,0
43,25609,39224,6,59430,7,39454,1,59626,3,14462,14614,21930,22123,14427,14689,21799,21992,381574,67980,375344,67841,379081,68161,378183,68465,658116,845569,838045,650939,656813,841606,841309,653247,715585,262350,837740,258584,702640,260760,832045,260463,107066,106597,85638,84777,105285,104599,83572,83746,66910,32492,66780,16087,66065,32497,65844,16112,420611,253486,0
44,41462,70242,6,97245,6,70905,11,98460,5,22275,22669,36518,37097,22554,22625,37870,37020,676006,101597,654948,114129,657584,102185,673174,116331,1128967,1357184,1321188,1106354,1117018,1332095,1351548,1134015,1273834,425357,1454865,408131,1223850,411252,1465831,419871,171216,170363,154171,151504,163457,163360,151255,154189,123086,42996,121968,29118,118424,42427,118377,29420,748578,438807,0
45,28102,46714,6,71424,6,46818,1,71919,4,14379,14657,24091,24024,14533,14580,24268,24112,473432,72491,461097,73678,460867,72026,468202,74821,738120,969945,947934,730747,722364,957684,964307,734351,898267,297784,1092916,289583,865147,290730,1084993,295898,131814,132929,107116,105766,128288,127691,104050,105522,97246,34960,97281,17678,95454,33913,94007,17815,582463,311485,0
46,34681,59156,8,83875,6,58883,4,84320,5,18496,19135,30361,30243,18770,19144,31200,30772,569079,87334,554090,93592,556642,87553,565719,95304,938418,1141997,1121317,913083,920504,1126695,1135469,925002,1079839,357448,1248874,350424,1046398,350717,1250831,355856,148671,148250,131349,129929,144059,143625,128843,130287,106461,39179,107212,23746,104062,38323,104534,23548,649258,372920,0
47,29766,45943,2,69692,2,46048,6,70213,8,16219,16518,25832,25711,16955,16857,26581,26263,442444,77599,429701,77915,431016,76359,440099,79997,742829,970099,938758,734434,733709,942957,956053,747577,816960,301982,957013,292770,786059,293551,958284,300526,123830,124569,98616,96329,118537,118028,96534,98074,75012,36670,74619,19254,72750,34973,72687,18992,468204,293015,0
48,33140,49987,4,73710,7,50092,11,75239,5,18939,18948,29222,28985,18803,19117,30249,29517,467347,84188,451497,87560,453692,84543,461531,89704,825120,1043203,1010594,802321,809760,1016456,1028514,820954,850514,325227,974078,313717,813204,315072,971660,320960,124402,125198,101339,99076,119949,119342,99560,101819,70333,39270,70114,21701,69202,38157,68494,21385,453639,310129,0
49,46933,74218,8,101837,12,73855,16,103904,9,26029,26647,42992,42920,25953,26447,43919,43422,684920,117281,664508,128623,667442,117523,680507,131033,1222409,1495735,1450664,1201831,1202841,1467527,1462514,1219115,1241002,456885,1418354,441430,1197321,444327,1401790,450474,169942,169187,151098,149343,163592,164046,147295,150542,102900,48846,102395,33494,100996,47699,99081,33225,654793,443349,0
50,47274,73513,10,102826,13,73265,13,103711,8,26380,26995,43824,43726,26424,26805,45072,43652,681916,118324,661430,130318,662561,118340,671548,132792,1225188,1500442,1448855,1199164,1198753,1459465,1470777,1209515,1220130,454739,1397913,441690,1176723,442567,1384759,450099,169053,169358,150461,148279,163246,163311,144939,147949,98826,50299,99460,33656,97307,49169,96097,33350,645409,438812,0
51,34919,52613,11,78553,9,52553,7,79515,8,19104,19820,31060,31038,19489,19415,32219,31049,505762,89697,489929,93102,489089,89727,498630,95149,885948,1128766,1100079,867512,864121,1098508,1114973,875009,915580,344607,1071415,334362,879364,332762,1060094,340266,134380,134691,109731,108111,129083,128670,107062,109526,78307,41617,78560,23201,76906,40167,76733,22914,500104,328904,0
52,32247,48740,11,72569,5,48758,5,73867,8,17682,18183,28616,28599,17907,18187,29223,28906,460204,83302,445002,85431,445819,82655,453335,86271,803584,1057454,1015709,787829,789741,1014695,1019550,798071,832151,321660,980788,309231,803145,309207,965658,315074,124584,125396,99659,97620,120715,119596,97056,98030,70769,38902,70748,20937,70237,37870,68422,20694,452898,301788,0
