,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
17,0,5,71,1570,9806,36195,93145,177743,300124,463011,656947,855608,1036374,1175611,1286424,1376250,1447221,1515159,1576042,1629624,1654544,1625891,1549664,1395535,1172279,923090,712575,550402,436244,347386,275675,217181,167336,126339,91742,61629,36242,19591,9013,4474,2334,994,423,202,130,69,40,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,31,782,6572,25053,65137,131947,226804,354659,508791,675017,819697,936633,1017445,1074680,1119804,1170323,1201504,1222752,1216452,1157724,1053938,911391,733142,569178,432681,333357,259983,202112,157079,117368,87700,61532,40741,24775,14352,6942,3253,1369,741,503,319,149,54,22,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,9,387,4261,15619,46653,98526,174450,277712,405616,545119,681794,789801,875405,950294,1012978,1074488,1121276,1155890,1158667,1131241,1058997,944504,788002,613350,464249,354708,276936,215645,171150,137642,107542,80209,56728,34725,19499,9416,4521,2266,1127,686,437,234,129,58,34,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,19,322,2988,14383,42783,95421,169879,276288,409034,573367,739779,898060,1046359,1177811,1292964,1398342,1501004,1577391,1623410,1636477,1588745,1487590,1314469,1096200,876665,685423,523627,396399,301281,229503,174952,131276,94222,62265,38448,21194,11302,5356,2730,1227,540,322,143,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,2,72,733,3600,12867,34932,71805,126775,200553,293924,408540,551318,711626,869220,1031477,1181516,1320106,1452093,1573322,1661912,1714264,1729683,1695897,1595245,1428489,1212609,985120,776260,596962,449753,337089,250613,182708,128371,83849,51641,29034,14675,7335,3758,2088,1269,786,547,448,353,300,270,258,251,158,140,115,122,79,47,21,0,0,0,0,0,0
22,0,19,36,97,1163,8287,23126,48654,89143,146819,221986,308865,413287,533631,662662,784832,904520,1018137,1112359,1198426,1251478,1275790,1266538,1226470,1140632,1003611,841334,682834,533855,407643,304934,225569,166470,122104,85341,56946,34297,18517,9585,5032,2556,1447,700,337,207,130,43,31,9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,446,1469,2976,10157,26629,52036,89103,139807,209795,298045,398862,499184,598995,688476,778619,869939,975889,1083272,1159419,1202534,1197087,1132455,1004427,836050,679583,544363,427853,326948,246885,180656,124379,83009,54490,32732,18704,10014,5310,2447,996,406,205,136,66,44,44,24,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,2,31,195,2557,9728,27053,59377,107350,168491,246668,351841,487155,641055,802845,967255,1128334,1292182,1458308,1633780,1795296,1908124,1929392,1860123,1701120,1481743,1214703,949523,719478,536320,399196,296558,217160,156349,106967,67650,37888,19626,9048,3891,1794,692,266,149,68,62,44,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,291,2373,9703,13666,14459,17679,28090,47745,74787,109542,155805,211215,283528,372351,471682,577238,688896,801223,922678,1061957,1210506,1357012,1464527,1470749,1367443,1207464,1019925,822647,633153,474074,347889,252001,179573,124435,77915,46162,25370,13678,6422,2847,1394,621,308,112,81,77,86,55,71,65,50,49,55,76,71,85,78,89,101,115,75,65,21,0
26,7,127,737,1564,3514,10935,25859,49354,84150,130024,187615,260856,346786,445428,553383,668182,778198,887495,998967,1110248,1215814,1308869,1366253,1360558,1248301,1055039,847268,648204,477008,342750,239947,161592,107437,70452,46806,28773,17647,9990,5532,2735,1656,900,437,186,108,91,97,50,35,14,7,3,6,3,3,0,0,0,0,0,0,0,0,0
