,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
11,0,17,185,919,4720,18088,46306,90121,152513,235533,335075,437909,543879,646362,740225,830572,909492,981612,1034948,1066782,1081479,1067305,1033508,983559,902446,800457,669797,538607,425796,334744,260605,203335,152990,112454,77765,49352,27725,14381,7449,3755,2059,1096,633,367,304,238,193,147,113,55,18,9,1,0,0,0,0,0,0,0,0,0,0,0
12,0,8,89,919,5648,24143,61042,122915,205025,319646,458543,610736,766239,907079,1039763,1147787,1251353,1351660,1441395,1511556,1563198,1588874,1568958,1496106,1354497,1138331,906039,710534,556581,431712,333198,256919,199034,156448,118068,81464,50479,28754,13649,5922,2456,1208,563,314,268,164,112,53,29,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11,54,134,802,4977,17026,44383,94019,164920,264108,392543,545251,709796,875564,1031314,1172924,1306895,1423084,1533408,1620353,1663862,1654884,1599312,1496065,1348040,1177776,992758,814183,643203,504414,390703,300411,224801,162638,113394,73891,42291,21678,10515,5497,2768,1344,674,403,242,112,42,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9,99,184,712,4030,15780,40376,82584,147389,239761,356056,486110,607264,710918,796032,875538,947069,1017087,1091042,1158256,1198272,1197233,1145214,1034010,877557,719234,571530,445574,341605,259759,200556,157084,121280,91969,63214,39050,21117,9922,4228,2060,1161,760,390,331,229,183,114,47,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,27,457,3476,7924,4179,4232,9352,23170,60424,136425,235467,333329,434151,527401,624906,720262,795702,847266,860619,836363,756901,648838,502494,340547,223759,151472,111928,82372,61285,43077,28937,19019,11345,6334,2432,738,222,76,43,19,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,21,558,2562,4232,14144,33072,65514,114498,178289,255877,343109,434695,521908,601933,674850,737092,788117,831310,853598,854842,832992,774685,696099,589433,473594,372513,294241,233803,186286,145570,113724,88204,67306,49098,33061,20774,10596,5106,2657,1314,638,283,158,82,43,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,11,194,2092,10928,38847,96807,184205,306180,465801,657002,850775,1028225,1168294,1278244,1368639,1436576,1500972,1556609,1608042,1630490,1606489,1536227,1395219,1184716,942695,731968,567593,448857,357397,284326,223697,174255,131659,96265,65824,39462,21830,10349,5085,2743,1230,563,260,151,94,48,32,14,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0
18,0,2,92,1020,7540,27215,68059,135788,230853,357589,507082,670070,812389,928682,1010930,1068142,1112731,1156660,1186602,1205805,1199589,1147900,1051081,918016,746369,583102,446217,343672,267783,209054,162222,122599,91933,65544,43705,27148,15852,7941,3814,1617,848,542,379,183,86,34,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,1,55,620,4885,17603,49359,102598,178840,281115,406239,543040,676589,785089,869356,942774,1004988,1063557,1107166,1139130,1142222,1118665,1050991,944303,796830,626830,479204,367334,286205,223161,176225,141645,111373,83979,59807,37774,21682,10743,5167,2588,1406,768,504,288,147,80,41,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,8,49,540,3780,16452,46755,100621,176969,283889,415488,575998,737431,893010,1039781,1168398,1279409,1382463,1478134,1554005,1600303,1613657,1572769,1478930,1316456,1106571,894958,704382,540745,412096,313117,239773,182178,136517,98766,65759,41341,23484,12576,6298,3277,1560,644,378,199,65,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
