,0,1
243,16.6667,1
244,15.0833,1
245,10.0833,1
246,7.5,1
247,7.5833,1
248,17.6667,1
249,2.5833,1
250,15.0833,1
251,12.5833,1
252,20.0833,1
253,7.5,1
254,18.6667,1
255,10.0833,1
256,8.3333,1
257,15.1667,1
258,22.6667,1
259,6.5,1
260,10.0833,1
261,10.0,1
262,10.0,1
263,12.5833,1
264,10.0833,1
265,5.0833,1
266,15.0833,1
267,15.0833,1
268,7.5,1
269,20.0833,1
270,10.0833,1
271,10.0833,1
272,15.0833,1
273,15.1667,1
274,10.0,1
275,10.0833,1
276,12.5833,1
277,15.1667,1
278,12.5,1
279,11.75,1
280,15.0833,1
281,10.0,1
282,12.5,1
283,10.0833,1
284,20.0833,1
285,10.0,1
286,15.0833,1
287,12.5,1
288,10.0833,1
289,10.0833,1
290,10.0833,1
291,10.0833,1
292,12.5,1
293,15.1667,1
294,10.0833,1
295,17.6667,1
296,10.0833,1
297,10.0,1
298,15.0833,1
299,15.0833,1
300,15.1667,1
301,12.5833,1
302,17.5833,1
303,17.5833,1
304,15.1667,1
305,8.5833,1
306,7.5833,1
307,12.5833,1
308,15.1667,1
309,8.0833,1
310,17.6667,1
311,10.0833,1
312,7.5833,1
313,15.0833,1
314,7.5,1
315,10.0,1
316,20.0833,1
317,15.0833,1
318,15.0833,1
319,17.6667,1
320,5.0,1
321,7.5833,1
322,10.0,1
323,16.0833,1
324,12.5833,1
325,15.0833,1
326,20.1667,1
327,15.0833,1
328,12.5833,1
329,7.5,1
330,12.5833,1
331,10.0,1
332,15.0833,1
333,15.0833,1
334,12.5833,1
335,6.6667,1
336,15.0,1
337,7.5,1
338,15.0833,1
339,7.5833,1
340,10.0,1
341,15.0833,1
342,10.0833,1
343,12.6667,1
344,10.0,1
345,10.0833,1
346,7.5833,1
347,7.5,1
348,10.0,1
349,10.0,1
350,12.5833,1
351,15.0833,1
352,15.0833,1
353,17.5833,1
354,17.6667,1
355,10.0,1
356,15.1667,1
357,12.5833,1
358,12.5833,1
359,15.1667,1
360,15.1667,1
361,17.5833,1
362,13.5833,1
363,12.6667,1
364,20.0833,1
365,10.0833,1
366,17.5833,1
367,11.0833,1
368,10.0,1
369,10.0833,1
370,7.5833,1
371,17.5833,1
372,17.5833,1
373,17.6667,1
374,10.0833,1
375,12.5833,1
376,12.5833,1
377,15.0833,1
378,10.0,1
379,7.5833,1
380,10.0833,1
381,17.6667,1
382,19.6667,1
383,15.1667,1
384,15.1667,1
385,17.5833,1
386,15.0833,1
387,12.5833,1
388,17.6667,1
389,17.5833,1
390,14.1667,1
391,15.1667,1
392,20.1667,1
393,15.0833,1
394,15.1667,1
395,15.1667,1
396,10.0833,1
397,10.0833,1
398,6.0,1
399,15.1667,1
400,10.0833,1
401,12.5833,1
402,10.0833,1
403,15.0833,1
404,10.0,1
405,12.6667,1
406,12.6667,1
407,12.5833,1
408,10.0833,1
409,17.5833,1
410,10.0833,1
411,10.0,1
412,12.5833,1
413,10.0833,1
414,10.8333,1
415,12.5833,1
416,12.5,1
417,12.5833,1
418,40.25,1
419,22.5833,1
420,15.0833,1
421,15.0833,1
422,7.5,1
423,15.0833,1
424,15.0833,1
425,12.5833,1
426,20.0833,1
427,12.5833,1
428,7.5833,1
429,17.5833,1
430,10.0833,1
431,15.0833,1
432,15.0833,1
433,12.5,1
434,10.0,1
435,10.0,1
436,12.5833,1
437,10.0833,1
438,7.5833,1
439,10.0833,1
440,10.0833,1
441,10.0,1
442,7.5833,1
443,10.0833,1
444,10.0833,1
445,12.5833,1
446,10.0833,1
447,20.0833,1
448,10.0833,1
449,12.5833,1
450,10.0833,1
451,12.5,1
452,12.5833,1
453,10.0,1
454,10.0833,1
455,10.0,1
456,15.0833,1
457,10.0,1
458,12.5833,1
459,15.0833,1
460,20.1667,1
461,12.5833,1
462,10.0,1
463,17.6667,1
464,7.5833,1
465,10.0,1
466,12.5833,1
467,10.0833,1
468,15.0833,1
469,17.6667,1
470,12.5833,1
471,7.5833,1
472,15.0833,1
473,10.0833,1
474,10.0,1
475,17.5833,1
476,10.0833,1
477,17.5833,1
478,2.5,1
479,12.5833,1
480,15.0833,1
481,12.5833,1
482,8.0833,1
483,17.5833,1
484,10.0833,1
485,12.5833,1
486,7.5,1
487,10.0833,1
488,7.5833,1
489,10.0833,1
490,5.0,1
491,10.0833,1
492,7.5,1
493,15.0,1
494,10.0,1
495,15.0833,1
496,12.5833,1
497,12.5,1
498,10.0833,1
499,12.6667,1
500,17.6667,1
501,7.5833,1
502,20.1667,1
503,15.0833,1
504,10.0833,1
505,12.5833,1
506,15.1667,1
507,15.0833,1
508,15.0,1
509,15.1667,1
510,15.0833,1
511,12.5833,1
512,12.5833,1
513,12.5833,1
514,12.5833,1
515,15.8333,1
516,10.0833,1
517,15.1667,1
518,20.1667,1
519,6.0,1
520,15.0833,1
521,7.5833,1
522,10.0833,1
523,10.0833,1
524,12.5,1
525,7.5833,1
526,10.0,1
527,20.0833,1
528,20.1667,1
529,17.5833,1
530,7.5833,1
531,10.0,1
532,10.0,1
533,12.5833,1
534,12.6667,1
535,16.6667,1
536,10.0,1
537,15.1667,1
538,10.8333,1
539,20.0833,1
540,15.1667,1
541,11.6667,1
542,15.0833,1
543,12.6667,1
544,10.0,1
545,12.5833,1
546,7.5833,1
547,10.0833,1
548,7.5833,1
549,17.6667,1
550,17.6667,1
551,15.0833,1
552,8.5,1
553,15.1667,1
554,17.6667,1
555,7.5833,1
556,15.0833,1
557,12.5833,1
558,10.0,1
559,20.0833,1
560,4.5833,1
561,10.0833,1
562,12.5,1
563,20.0833,1
564,12.5833,1
565,13.5833,1
566,10.0833,1
567,10.0,1
568,10.0833,1
569,10.0833,1
570,20.1667,1
571,15.0,1
572,10.5,1
573,20.1667,1
574,10.0833,1
575,17.5833,1
576,22.6667,1
577,7.5,1
578,12.5833,1
579,20.0833,1
580,10.0833,1
581,20.1667,1
582,12.5833,1
583,20.1667,1
584,7.5833,1
585,15.1667,1
586,9.0833,1
587,15.1667,1
588,10.0,1
589,7.5833,1
590,12.5833,1
591,17.5833,1
592,12.5,1
593,7.5833,1
594,10.0833,1
595,10.0833,1
596,15.0833,1
597,10.0,1
598,22.6667,1
599,15.1667,1
600,10.0833,1
601,16.6667,1
602,10.0833,1
603,8.5833,1
604,17.5833,1
605,12.5833,1
606,15.0833,1
607,17.5833,1
608,10.0833,1
609,12.5833,1
610,12.5833,1
611,17.5833,1
612,10.0833,1
613,10.9167,1
614,10.0,1
615,10.0833,1
616,12.5833,1
617,7.5,1
618,15.0833,1
619,15.1667,1
620,7.5833,1
621,10.0,1
622,17.6667,1
623,15.0833,1
624,10.0833,1
625,12.5833,1
626,12.6667,1
627,7.5833,1
628,10.0,1
629,12.5833,1
630,10.0833,1
631,15.1667,1
632,15.0833,1
633,15.1667,1
634,12.5833,1
635,10.0833,1
636,7.5,1
637,10.0833,1
638,12.5833,1
639,7.5,1
640,17.5,1
641,7.5,1
642,7.5,1
643,10.0833,1
644,10.0833,1
645,12.5833,1
646,17.6667,1
647,15.0833,1
648,10.0833,1
649,15.1667,1
650,15.1667,1
651,10.0,1
652,12.6667,1
653,10.0833,1
654,15.0833,1
655,10.0833,1
656,12.5833,1
657,10.0833,1
658,12.5833,1
659,20.1667,1
660,10.0,1
661,8.5833,1
662,12.5,1
663,10.0833,1
664,10.0833,1
665,10.0,1
666,10.0833,1
667,10.0833,1
668,12.5,1
669,20.1667,1
670,15.1667,1
671,10.0833,1
672,7.5833,1
673,5.0,1
674,12.5833,1
675,10.0833,1
676,13.5833,1
677,7.5833,1
678,15.0833,1
679,12.5833,1
680,15.0833,1
681,10.0,1
682,10.0833,1
683,10.0833,1
684,17.5833,1
685,15.1667,1
686,5.0,1
687,7.5,1
688,10.0833,1
689,20.1667,1
690,10.0833,1
691,12.5833,1
692,10.0833,1
693,10.0833,1
694,17.5833,1
695,15.0,1
696,10.0,1
697,15.0833,1
698,15.9167,1
699,15.0,1
700,7.5,1
701,10.0833,1
702,12.5,1
703,15.0,1
704,15.1667,1
705,12.5833,1
706,12.6667,1
707,17.5833,1
708,9.1667,1
