,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
51,0,3041,18090,12179,7641,30510,71456,64120,76805,103161,118709,118447,100721,74664,51527,36758,24342,14478,7754,4685,3804,3552,3141,2505,2102,1870,1770,1687,1673,1851,2403,3770
52,1805,11704,2558,1633,2787,3850,2923,5466,11828,23602,38080,53479,73020,80139,72062,57723,39877,25917,16004,7489,3038,1536,949,887,753,573,460,300,147,53,30,0
53,347,5940,1581,785,1262,6314,16674,16982,14939,18724,23397,24897,24692,23937,22992,19395,17086,11758,5626,2307,1203,931,829,814,768,714,626,545,545,554,901,5343
54,0,41,2636,6938,36646,52121,26444,22312,39492,65849,93323,111372,112988,100010,79844,59784,40313,25118,14373,8010,4559,2738,2274,2044,1980,2089,2679,2624,1950,884,158,7
55,0,2434,2028,1207,1046,2547,10163,16320,12291,10816,12037,14749,19687,24362,28356,31195,31259,28275,21843,15945,10858,6836,4396,2718,1765,1208,1130,1079,1028,953,728,229
56,0,7291,2440,10064,18841,7282,6527,6367,8474,12713,18387,22190,24962,31992,41527,48154,47486,42089,31667,24334,15853,9513,6068,3885,2570,1799,1475,1459,1698,1691,1499,503
57,7,711,27986,43652,6451,7941,38800,55824,89548,79296,72086,71390,57418,37873,20820,7773,2692,2071,1925,1847,1786,2769,6126,3545,165,9,1,0,0,0,0,0
58,0,231,5851,2733,1150,3081,13465,25603,32447,44482,39996,34403,32740,30772,29410,26098,22172,18371,14267,10690,7258,4443,2725,1746,1152,827,545,424,398,516,1269,3919
59,23,214,443,817,4102,18485,56500,92804,112771,115598,98294,68904,41398,23610,14502,10487,7298,5423,3643,1246,394,320,325,324,271,265,214,152,73,12,0,0
60,0,357,1468,1329,9718,50422,94240,64217,96335,125430,129311,119549,101848,65179,31360,11843,5012,3362,2834,2299,1676,949,459,168,75,90,118,195,146,54,21,0
61,12,48,309,10528,33534,63633,100200,131599,156728,199006,241626,202010,130658,81743,51469,31795,17726,9291,6524,5358,4924,4799,4364,3577,2195,1458,753,177,20,0,0,0
62,34,4576,3609,5343,9549,22551,54252,76716,82266,83000,80640,74563,65369,53073,42905,34561,28216,22800,17923,14264,12070,9852,7139,5021,3539,2528,1683,1129,626,337,84,6
63,72,2703,1655,1619,997,1058,2431,8892,21987,31101,31125,34511,30576,26815,27154,25630,25896,27537,28407,27849,25567,21864,17898,13721,10223,7665,5910,4962,4321,3823,3883,4452
64,0,4875,2469,19045,9012,4029,15351,45304,79713,94573,88635,68451,45621,27546,15277,7686,3945,2451,1956,3196,7757,3048,560,358,251,151,93,41,19,8,3,0
65,0,714,3415,67157,35854,9012,34281,43309,67237,91278,85023,82884,86714,73631,50034,28364,13896,6809,4173,2687,2202,1245,598,298,158,49,17,1,0,0,0,0
66,0,23835,12321,5378,6919,21870,65736,67417,80477,107691,123955,120110,102045,81542,60044,40759,25857,15550,9226,5035,2840,1771,1172,863,609,530,371,295,198,124,34,2
67,0,66,24106,56810,16785,18898,45551,68523,76442,73668,66527,59302,52187,43565,34835,27382,20539,15899,14926,9918,5452,3590,2343,1170,638,341,221,174,140,139,140,75
68,0,5,28,156,948,5891,20691,20485,18002,18585,21481,25432,29904,31526,29444,24751,20337,15794,11464,7578,5459,3309,1481,954,911,991,1032,1077,837,580,317,38
69,0,18902,8896,3563,5429,13203,29919,44659,49742,54897,60163,58285,54733,49496,43190,35352,27897,21543,15805,12040,8660,6163,4620,3269,2310,1659,1197,796,486,280,190,96
70,0,6,860,4953,15606,26084,35380,48379,67922,86976,94231,84937,63372,39121,21360,11505,6832,3798,1585,690,376,426,235,289,440,789,1099,1024,424,212,97,0
71,0,60,10333,56579,28103,11053,39795,26224,59908,90718,91025,91419,80579,61105,41250,19482,7666,4566,3693,2878,3571,5192,4835,2522,810,57,1,0,0,0,0,0
72,0,1051,23016,60702,16000,9073,41146,69803,111555,106958,97704,84190,64039,43671,24939,12165,6180,4434,3268,2032,2063,2302,4107,6691,4243,455,5,0,0,0,0,0
73,0,5,299,26000,89999,49539,50792,89350,118138,119659,95648,60110,30110,13646,6260,2802,1457,937,498,265,115,46,22,11,3,1,0,0,0,0,0,0
74,0,0,216,1924,13416,38362,51203,58064,68360,77926,75206,63429,43738,27934,16743,8798,3915,1409,537,180,48,14,2,0,0,0,0,0,0,0,0,0
