,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
28,0,40,3450,3872,2097,1429,1006,728,764,767,809,860,1171,2158,3612,5620,8217,10987,12123,11889,10861,10907,11453,12059,12758,13023,12963,13161,13577,13641,13503,12762,12013,11320,10590,10036,9850,9064,8245,7424,6729,6323,5693,4840,3722,2985,2300,1769,1414,1160,984,734,545,525,511,470,500,455,452,434,321,240,140,9
29,0,0,0,8,67,228,952,2065,2564,4199,8820,16961,25992,29501,27441,26938,28821,30665,33048,33439,33294,32039,30114,27078,23820,20429,16653,12893,9616,6953,4938,3609,2433,1483,994,625,462,317,222,153,118,76,90,84,68,66,75,76,90,78,55,17,9,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,16,2089,15144,27978,19727,7141,4528,10113,16980,11690,12598,20168,26792,31056,31878,28295,24904,24303,25192,26225,25915,24183,22052,19333,16819,14108,10752,7127,3935,2225,1375,1180,979,1038,1068,1333,1678,1515,1232,964,936,926,973,704,352,254,124,20,3,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,8,29,334,2277,5471,8080,10389,10948,10323,11323,14053,16640,20468,24546,28431,31088,31079,28559,25018,20858,17236,14352,11403,9256,7409,6084,5095,3704,2691,1844,1392,1028,772,523,402,291,236,222,289,488,896,1266,1122,910,651,530,406,387,296,262,160,99,44,10,1,1,0,0,0
32,0,642,1080,1041,963,840,776,934,833,755,1099,2180,4543,7592,10252,11092,11475,11426,11572,11322,10716,10329,10778,11740,12227,12711,12831,12568,12117,11586,11192,10808,10633,10128,9890,9633,9253,8475,7784,6921,6248,5499,4606,3407,2452,1767,1344,1063,779,643,581,551,479,482,468,417,350,279,209,204,134,98,47,4
33,0,0,790,3485,9694,15623,12214,5502,2416,2213,3022,5120,8406,13187,17249,22350,27516,31780,35234,38944,41663,43470,43487,42194,39853,37088,34223,29484,24597,19990,16256,12598,9714,7592,5913,4772,3910,2914,2180,1838,1681,1378,1177,1128,1258,1570,1600,1336,1074,878,634,314,152,44,20,8,3,0,0,0,0,0,0,0
34,0,0,0,112,601,756,1578,1689,1356,1661,2606,4568,7395,10417,12757,14549,16399,18341,20960,23982,25926,28070,29243,29361,28061,26919,25588,24218,21894,19670,17584,15232,13158,10692,8883,6936,5492,4371,3289,2536,1926,1465,1110,913,732,664,566,508,530,522,522,595,602,578,658,652,524,354,188,145,62,46,24,0
35,0,0,0,6,26,21,63,228,546,1240,2660,5697,12293,24006,29502,24853,23433,26547,28133,25888,27480,31952,32382,30877,27780,23630,21725,20577,18844,17697,16838,15181,13444,11607,10186,9211,8323,7436,6366,5400,4722,4188,3811,3612,3443,3097,2870,2740,2293,2035,1763,1438,1126,836,608,435,325,218,139,105,85,83,62,0
36,0,1553,4648,5757,5269,2705,1158,701,583,962,2307,5225,9274,11795,11872,10855,9918,9798,10291,10190,10566,11236,11781,11886,11941,12079,12520,12720,13184,13789,14227,14560,14690,14166,13527,12041,10299,8551,7075,5684,4632,3747,3003,2386,2002,1722,1442,1238,1041,859,763,747,686,657,689,678,563,560,542,503,466,341,250,28
37,0,0,46,1064,1044,8432,19207,25377,4833,1310,1469,5015,14360,29292,34069,34927,42525,50318,53834,54206,54271,54469,52746,49567,43520,36790,30514,23823,18088,12770,8858,5849,4306,3434,2720,2587,3028,3025,3123,2861,2616,2042,1439,1101,749,493,217,62,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,276,252,116,175,603,1052,1888,3720,6387,9883,13788,18303,22931,27213,31177,34562,36099,36847,35058,32170,28998,26014,23381,20761,17921,15602,12623,9849,7785,5945,4459,3284,2504,1821,1340,1052,700,511,397,301,263,204,149,104,94,84,79,50,61,53,34,42,36,28,23,33,37,33,34,11,0
39,62,33,20,234,3180,3498,2346,1957,1752,1928,2346,3228,4881,7419,11074,14939,18791,23311,27831,32325,36791,37671,37375,34927,31165,28140,25306,22895,20894,19401,17424,16116,14765,13358,12338,11203,10083,9070,8046,7362,6647,6080,5453,4997,4478,4232,3803,3329,2947,2562,2161,1879,1651,1422,1288,1036,896,712,633,568,579,690,1073,8983
